time,num_bacteria,initial_num_phage,initial_num_antibiotic,mean_resistance
0,1,1,1,0.4805022372198757
1,1,1,1,0.4805022372198757
2,1,1,1,0.4805022372198757
3,1,1,1,0.4805022372198757
4,1,1,1,0.4805022372198757
5,1,1,1,0.4805022372198757
6,1,1,1,0.4805022372198757
7,1,1,1,0.4805022372198757
8,1,1,1,0.4805022372198757
9,1,1,1,0.4805022372198757
10,1,1,1,0.4805022372198757
11,1,1,1,0.4805022372198757
12,1,1,1,0.47581774558558904
13,1,1,1,0.47581774558558904
14,1,1,1,0.47581774558558904
15,1,1,1,0.47581774558558904
16,1,1,1,0.47581774558558904
17,1,1,1,0.47581774558558904
18,1,1,1,0.47581774558558904
19,1,1,1,0.47581774558558904
20,1,1,1,0.47581774558558904
0,1,1,2,0.7369099957811294
1,1,1,2,0.7369099957811294
2,1,1,2,0.7369099957811294
3,1,1,2,0.7369099957811294
4,1,1,2,0.7369099957811294
5,1,1,2,0.7369099957811294
6,1,1,2,0.7369099957811294
7,0,1,2,
0,1,1,3,0.22168903037549337
1,1,1,3,0.22168903037549337
2,1,1,3,0.22168903037549337
3,1,1,3,0.22168903037549337
4,1,1,3,0.22168903037549337
5,1,1,3,0.22168903037549337
6,1,1,3,0.22168903037549337
7,1,1,3,0.22168903037549337
8,1,1,3,0.22168903037549337
9,1,1,3,0.22168903037549337
10,1,1,3,0.22168903037549337
11,1,1,3,0.22168903037549337
12,1,1,3,0.22168903037549337
13,1,1,3,0.22168903037549337
14,1,1,3,0.22168903037549337
15,1,1,3,0.22168903037549337
16,1,1,3,0.22168903037549337
17,1,1,3,0.22168903037549337
18,1,1,3,-0.09862595925189954
19,1,1,3,-0.09862595925189954
20,1,1,3,-0.09862595925189954
0,1,1,4,0.8124849860178589
1,1,1,4,0.8124849860178589
2,1,1,4,0.8124849860178589
3,1,1,4,0.8124849860178589
4,1,1,4,0.8124849860178589
5,1,1,4,0.8124849860178589
6,1,1,4,0.8124849860178589
7,1,1,4,0.8124849860178589
8,1,1,4,0.7251626556236387
9,1,1,4,1.0774844148822647
10,1,1,4,1.0774844148822647
11,1,1,4,1.0774844148822647
12,1,1,4,1.2848899174450679
13,1,1,4,1.2848899174450679
14,1,1,4,1.2621484799865412
15,1,1,4,1.2621484799865412
16,1,1,4,1.2621484799865412
17,1,1,4,1.2621484799865412
18,1,1,4,1.2621484799865412
19,1,1,4,1.2621484799865412
20,1,1,4,1.2621484799865412
0,1,1,5,0.9205586329430953
1,1,1,5,0.9205586329430953
2,1,1,5,0.9205586329430953
3,1,1,5,0.9205586329430953
4,1,1,5,0.9205586329430953
5,1,1,5,0.9205586329430953
6,1,1,5,0.9205586329430953
7,1,1,5,0.9205586329430953
8,1,1,5,0.9205586329430953
9,1,1,5,0.9205586329430953
10,1,1,5,0.9205586329430953
11,1,1,5,0.9205586329430953
12,1,1,5,0.9205586329430953
13,1,1,5,0.9205586329430953
14,1,1,5,0.9205586329430953
15,1,1,5,0.9205586329430953
16,1,1,5,0.9205586329430953
17,1,1,5,0.9205586329430953
18,1,1,5,0.8607916495748508
19,1,1,5,0.8607916495748508
20,1,1,5,0.8607916495748508
0,1,2,1,0.5217756567898021
1,1,2,1,0.4992442194685811
2,1,2,1,0.4992442194685811
3,1,2,1,0.4992442194685811
4,1,2,1,0.4992442194685811
5,1,2,1,0.4992442194685811
6,1,2,1,0.4992442194685811
7,1,2,1,0.4992442194685811
8,1,2,1,0.4992442194685811
9,1,2,1,0.4992442194685811
10,1,2,1,0.4992442194685811
11,1,2,1,0.4992442194685811
12,1,2,1,0.4992442194685811
13,1,2,1,0.4992442194685811
14,1,2,1,0.4992442194685811
15,1,2,1,0.4992442194685811
